Period,IDPROV,Province,Xcoord,Ycoord,IDDISTRICT,District,Event,Casualties,Injured,Missing,Affected,Displaced,House_HD,House_MD,House_SD,Flooded
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3573,KOTA MALANG,Landslide,,,,6,,1,,,
January 2018,52,NUSA TENGGARA BARAT,117.50748,-8.60668,5272,KOTA BIMA,Flood,,,,1965,,,,,
January 2018,36,BANTEN,106.10883,-6.45625,3604,SERANG,Whirlwind,,,,6,,,,1,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Landslide,,,,2,,,1,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3320,JEPARA,Whirlwind,,,,0,,,1,31,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3201,BOGOR,Landslide,,,,3,,,1,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3579,KOTA BATU,Whirlwind,,1,,0,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3309,BOYOLALI,Landslide,,,,0,,1,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3520,MAGETAN,Landslide,,,,0,,,1,,
January 2018,16,SUMATERA SELATAN,104.17052,-3.21413,1310,SOLOK SELATAN,Whirlwind,,,,0,,,,2,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3301,CILACAP,Whirlwind,,,,0,,1,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3509,JEMBER,Flood,,,,0,,,1,1,25
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3329,BREBES,Whirlwind,,,,0,,1,,30,
January 2018,36,BANTEN,106.10883,-6.45625,3602,LEBAK,Earthquake,1,2,,0,,137,161,776,
January 2018,36,BANTEN,106.10883,-6.45625,3601,PANDEGLANG,Earthquake,,,,0,,2,1,6,
January 2018,36,BANTEN,106.10883,-6.45625,3604,SERANG,Earthquake,,,,0,,,,4,
January 2018,36,BANTEN,106.10883,-6.45625,3603,TANGERANG,Earthquake,,,,0,,,,,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3201,BOGOR,Earthquake,,1,,3408,175,62,220,523,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3202,SUKABUMI,Earthquake,,12,,4767,843,831,2083,3425,
